kanji	count	freq	freq_cum	jouyou	jouyou_pos
票	1701	7.52333e-05	0.967792	4	625
祭	3108	0.000137463	0.936788	3	410
祷	57	2.52105e-06	0.999229	0	0
禁	3301	0.000146	0.932543	5	767
禄	319	1.4109e-05	0.995283	0	0
禅	146	6.45742e-06	0.997893	7	1994
禊	3	1.32687e-07	0.999969	0	0
禍	28	1.23841e-06	0.999657	7	2096
禎	7	3.09602e-07	0.999925	0	0
福	7467	0.000330257	0.83904	3	366
禰	34	1.50378e-06	0.999571	0	0
禽	8	3.53831e-07	0.999906	0	0
禾	4	1.76916e-07	0.999964	0	0
禿	40	1.76916e-06	0.999479	0	0
秀	10003	0.000442422	0.794039	7	1071
私	230072	0.0101758	0.0659699	6	826
秉	5	2.21144e-07	0.99995	0	0
秋	9500	0.000420174	0.805292	2	201
科	10400	0.00045998	0.789531	2	197
秒	2154	9.5269e-05	0.958122	3	423
秘	7551	0.000333972	0.838049	6	869
租	27	1.19418e-06	0.999674	7	2098
秤	79	3.49408e-06	0.99889	0	0
秦	87	3.84791e-06	0.998767	0	0
秩	289	1.27821e-05	0.995739	7	1888
称	1025	4.53346e-05	0.982631	7	1581
移	5926	0.0002621	0.873054	5	739
稀	794	3.51177e-05	0.986443	0	0
程	3914	0.000173112	0.917093	5	757
税	2224	9.8365e-05	0.95687	5	789
稔	284	1.2561e-05	0.995891	0	0
稗	5	2.21144e-07	0.999948	0	0
稚	1251	5.53303e-05	0.977576	7	1507
稜	65	2.87488e-06	0.999088	0	0
稟	132	5.83821e-06	0.998095	0	0
種	4365	0.000193059	0.907935	4	579
稲	2798	0.000123752	0.944239	7	1280
稼	2973	0.000131492	0.940019	7	1264
稽	1282	5.67014e-05	0.977017	7	1498
稿	2124	9.39422e-05	0.958689	7	1350
穀	61	2.69796e-06	0.999152	6	1004
穂	4525	0.000200136	0.903798	7	1174
穆	1	4.42289e-08	0.999998	0	0
積	3270	0.000144628	0.933124	4	599
穎	33	1.45955e-06	0.999599	0	0
穏	1147	5.07305e-05	0.979847	7	1540
穗	3	1.32687e-07	0.999966	0	0
